sim.cycle	Age	Cell_count_Reproduction	AvgFitness	SDFitness	PopulationScale	EnvEffect	AsymCellDiv	SymCellDiv	CellSurvived	CellKilled	Cell_count_Late
10	0	0	NA	NA	INF	0.1	NA	NA	NA	NA	489
11.0	1.0	489.0	1.0	0.1	1.02249	0.1	197.0	1.0	279.0	12.0	478.0
12.0	2.0	478.0	1.0	0.1	1.04603	0.1	204.0	2.0	272.0	0.0	480.0
13.0	3.0	480.0	1.0	0.1	1.04167	0.1	175.0	1.0	297.0	7.0	474.0
14.0	4.0	474.0	1.0	0.1	1.05485	0.1	198.0	0.0	276.0	0.0	474.0
15.0	5.0	474.0	1.0	0.1	1.05485	0.1	192.0	1.0	281.0	0.0	475.0
16.0	6.0	475.0	1.0	0.1	1.05263	0.1	182.0	2.0	291.0	0.0	477.0
17.0	7.0	477.0	1.0	0.1	1.04822	0.1	184.0	3.0	290.0	0.0	480.0
18.0	8.0	480.0	1.0	0.1	1.04167	0.1	187.0	3.0	290.0	0.0	483.0
19.0	9.0	483.0	1.0	0.1	1.0352	0.1	180.0	2.0	301.0	0.0	485.0
20.0	10.0	485.0	1.0	0.1	1.03093	0.1	193.0	2.0	281.0	9.0	478.0
21.0	11.0	478.0	1.0	0.1	1.04603	0.1	232.0	1.0	245.0	0.0	479.0
22.0	12.0	479.0	1.0	0.1	1.04384	0.1	186.0	1.0	292.0	0.0	480.0
23.0	13.0	480.0	1.0	0.1	1.04167	0.1	186.0	1.0	291.0	2.0	479.0
24.0	14.0	479.0	1.0	0.1	1.04384	0.1	189.0	2.0	288.0	0.0	481.0
25.0	15.0	481.0	1.0	0.1	1.0395	0.1	193.0	1.0	287.0	0.0	482.0
26.0	16.0	482.0	1.0	0.1	1.03734	0.1	228.0	1.0	253.0	0.0	483.0
27.0	17.0	483.0	1.0	0.1	1.0352	0.1	189.0	1.0	293.0	0.0	484.0
28.0	18.0	484.0	1.0	0.1	1.03306	0.1	182.0	2.0	297.0	3.0	483.0
29.0	19.0	483.0	1.0	0.1	1.0352	0.1	182.0	1.0	296.0	4.0	480.0
30.0	20.0	480.0	1.0	0.1	1.04167	0.1	209.0	2.0	269.0	0.0	482.0
31.0	21.0	482.0	1.0	0.1	1.03734	0.1	207.0	4.0	271.0	0.0	486.0
